names	simulation	egw (J)	freq	50%	10%	rotation	mass (kg)	duration (s)	finished duration
Abd+14	A1O01.0	1.68E+39	819	15.9	58.7	1	2.39E+31	0.05	0
Abd+14	A2O01.0	3.04E+38	854	19.3	71	1	2.39E+31	0.05	0
Abd+14	A3O01.0	1.25E+39	867	20.1	84.6	1	2.39E+31	0.05	0
Abd+14	A4O01.0	7.51E+38	873	8.4	39.3	1	2.39E+31	0.05	0
And+17	s11	1.97E+37	642	1.4	2.3	0	2.23E+31	0.35	0
And+17	s20	1.32E+38	687	3.4	5.6	0	3.98E+31	0.43	0
And+17	s20s	2.50E+38	693	4.1	6.8	0	3.98E+31	0.53	0
And+17	s27	7.87E+37	753	1.9	3.1	0	5.37E+31	0.57	0
And+19	m15fr	4.83E+37	689	3.2	5.6	0.5	2.98E+31	0.46	0
And+19	m15nr	2.68E+37	820	1.8	3.1	0	2.98E+31	0.35	0
And+19	m15r	1.27E+37	801	0.9	1.5	0.2	2.98E+31	0.38	0
Cer+13	fiducial	5.90E+40	922	15.7	51.5	2	6.96E+31	1.62	1
Cer+13	slow	1.68E+41	987	35.9	154.3	1	6.96E+31	1.05	1
Dim+08	s15A2O09-ls	4.83E+39	743	14.5	60.1	4.6	2.98E+31	0.06	0
Dim+08	s15A3O15-ls	9.30E+38	117	13.6	59.4	13.3	2.98E+31	0.34	0
Dim+08	s20A3O09-ls	3.93E+39	615	12.5	59.9	9	3.98E+31	0.08	0
Kur+16	SFHx	3.75E+38	718	11.8	23.8	0	2.98E+31	0.35	0
Kur+16	TM1	3.04E+38	714	8	13.2	0	2.98E+31	0.35	0
Kur+17	s11.2	2.32E+37	195	7.7	15.9	0	2.23E+31	0.19	0
Kur+17	s15.0	5.54E+38	430	6.7	11.7	0	2.98E+31	0.21	0
Mez+20	c15-3D	1.14E+39	1064	4.4	7.4	0	2.98E+31	0.21	0
Mor+18	M10_DD2	3.04E+38	1544	1.9	7.4	0	1.99E+31	1.7	1
Mor+18	M10_LS220	4.29E+38	1594	1.3	5.2	0	1.99E+31	1.21	1
Mor+18	M13_SFHo	1.97E+39	976	2.3	10.2	0	2.59E+31	1.36	1
Mor+18	M19_SFHo	1.13E+40	1851	3.9	16.7	0	3.78E+31	1.54	1
Mul+12	L15-3	3.93E+36	144	4.3	8	0	2.98E+31	1.4	1
Mul+12	N20-2	1.97E+36	147	1.9	3.6	0	3.98E+31	1.5	1
Mul+12	W15-4	4.47E+36	208	1.9	5.2	0	2.98E+31	1.3	1
Oco+18	mesa20	1.13E+38	1121	1.1	1.9	0	3.98E+31	0.5	0
Oco+18	mesa20_LR	3.93E+38	1199	1.4	2.6	0	3.98E+31	0.65	0
Oco+18	mesa20_pert	1.70E+38	1033	1.6	2.9	0	3.98E+31	0.53	0
Oco+18	mesa20_v_LR	1.79E+37	887	1.1	1.9	0	3.98E+31	0.48	0
Ott+13	s27-fheat1.00	7.15E+37	836	5.8	10.5	0	5.37E+31	0.19	0
Ott+13	s27-fheat1.05	6.08E+37	385	5.8	10.6	0	5.37E+31	0.19	0
Ott+13	s27-fheat1.10	5.90E+37	340	5.8	10	0	5.37E+31	0.19	0
Ott+13	s27-fheat1.15	5.54E+37	839	5.2	9	0	5.37E+31	0.19	0
Pow+19	s18	2.86E+37	872	7.7	12.7	0	3.58E+31	0.89	1
Pow+19	s3.5_pns	6.44E+37	878	3.9	6.4	0	6.96E+30	0.7	1
Pow+20	m39	1.34E+38	674	30.7	70.2	0	7.76E+31	0.56	1
Pow+20	s18np	1.38E+40	742	5.7	12.3	3.4	3.58E+31	1	1
Pow+20	y20	1.79E+39	872	8.5	14.6	0	3.98E+31	0.98	1
Rad+19	s13	1.05E+39	1422	1	1.8	0	2.59E+31	0.8	0
Rad+19	s25	5.01E+39	1132	5.6	9.4	0	4.97E+31	0.6	0
Rad+19	s9	2.86E+37	727	0.4	0.7	0	1.79E+31	1.1	1
Ric+17	A467_w0.50_LS220	9.12E+38	820	10.3	43	0.5	2.39E+31	0.06	0
Ric+17	A467_w0.50_SFHx	2.86E+39	891	8	32.9	0.5	2.39E+31	0.06	0
Ric+17	A467_w9.50_LS220	7.33E+39	863	22.5	90.5	9.5	2.39E+31	0.06	0
Ric+17	A467_w9.50_SFHx	7.51E+39	448	24.2	105.2	9.5	2.39E+31	0.06	0
Sch+10	R1E1CA.L	2.15E+37	1103	1.3	3.5	0.3	2.98E+31	0.09	0
Sch+10	R3E1AC.L	3.93E+40	588	89.6	171.8	6.3	2.98E+31	0.11	0
Sch+10	R4E1FC.L	6.97E+40	683	98.4	203.4	9.4	2.98E+31	0.1	0
Yak+15	B12	6.08E+38	708	3.6	13.6	0	2.39E+31	1.3	1
Yak+15	B15	1.41E+39	865	4.3	17.9	0	2.98E+31	1.1	1
Yak+15	B20	7.51E+38	602	3	15.2	0	3.98E+31	0.9	1
Yak+15	B25	2.50E+38	1022	6.6	26.1	0	4.97E+31	1.14	1
