names	simulation	egw	freq	50%	10%	rotation	mass	duration 
Abd+14	A1O01.0	9.40E-09	819	15.9	58.7	1	12	50
Abd+14	A2O01.0	1.70E-09	854	19.3	71	1	12	50
Abd+14	A3O01.0	7.00E-09	867	20.1	84.6	1	12	50
Abd+14	A4O01.0	4.20E-09	873	8.4	39.3	1	12	50
And+17	s11	1.10E-10	642	1.4	2.3	0	11.2	350
And+17	s20	7.40E-10	687	3.4	5.6	0	20	430
And+17	s20s	1.40E-09	693	4.1	6.8	0	20	530
And+17	s27	4.40E-10	753	1.9	3.1	0	27	570
And+19	m15fr	2.70E-10	689	3.2	5.6	1	15	460
And+19	m15nr	1.50E-10	820	1.8	3.1	0	15	350
And+19	m15r	7.10E-11	801	0.9	1.5	1	15	380
Cer+13	fiducial	3.30E-07	922	15.7	51.5	1	35	1620
Cer+13	slow	9.40E-07	987	35.9	154.3	1	35	1050
Dim+08	s15A2O09-ls	2.70E-08	743	14.5	60.1	1	15	60
Dim+08	s15A3O15-ls	5.20E-09	117	13.6	59.4	1	15	340
Dim+08	s20A3O09-ls	2.20E-08	615	12.5	59.9	1	20	80
Kur+16	SFHx	2.10E-09	718	11.8	23.8	0	15	350
Kur+16	TM1	1.70E-09	714	8	13.2	0	15	350
Kur+17	s11.2	1.30E-10	195	7.7	15.9	0	11.2	190
Kur+17	s15.0	3.10E-09	430	6.7	11.7	0	15	210
Mez+20	c15-3D	6.40E-09	1064	4.4	7.4	0	15	210
Mor+18	M10_DD2	1.70E-09	1544	1.9	7.4	0	10	1700
Mor+18	M10_LS220	2.40E-09	1594	1.3	5.2	0	10	1210
Mor+18	M13_SFHo	1.10E-08	976	2.3	10.2	0	13	1360
Mor+18	M19_SFHo	6.30E-08	1851	3.9	16.7	0	19	1540
Mul+12	L15-3	2.20E-11	144	4.3	8	0	15	1400
Mul+12	N20-2	1.10E-11	147	1.9	3.6	0	20	1500
Mul+12	W15-4	2.50E-11	208	1.9	5.2	0	15	1300
Oco+18	mesa20	6.30E-10	1121	1.1	1.9	0	20	500
Oco+18	mesa20_LR	2.20E-09	1199	1.4	2.6	0	20	650
Oco+18	mesa20_pert	9.50E-10	1033	1.6	2.9	0	20	530
Oco+18	mesa20_v_LR	1.00E-10	887	1.1	1.9	0	20	480
Ott+13	s27-fheat1.00	4.00E-10	836	5.8	10.5	0	27	190
Ott+13	s27-fheat1.05	3.40E-10	385	5.8	10.6	0	27	190
Ott+13	s27-fheat1.10	3.30E-10	340	5.8	10	0	27	190
Ott+13	s27-fheat1.15	3.10E-10	839	5.2	9	0	27	190
Pow+19	s18	1.60E-10	872	7.7	12.7	0	18	890
Pow+19	s3.5_pns	3.60E-10	878	3.9	6.4	0	3.5	700
Pow+20	m39	7.50E-10	674	30.7	70.2	0	39	560
Pow+20	s18np	7.70E-08	742	5.7	12.3	1	18	1000
Pow+20	y20	1.00E-08	872	8.5	14.6	0	20	980
Rad+19	s13	5.90E-09	1422	1	1.8	0	13	800
Rad+19	s25	2.80E-08	1132	5.6	9.4	0	25	600
Rad+19	s9	1.60E-10	727	0.4	0.7	0	9	1100
Ric+17	A467_w0.50_LS220	5.10E-09	820	10.3	43	1	12	60
Ric+17	A467_w0.50_SFHx	1.60E-08	891	8	32.9	1	12	60
Ric+17	A467_w9.50_LS220	4.10E-08	863	22.5	90.5	1	12	60
Ric+17	A467_w9.50_SFHx	4.20E-08	448	24.2	105.2	1	12	60
Sch+10	R1E1CA.L	1.20E-10	1103	1.3	3.5	1	15	90
Sch+10	R3E1AC.L	2.20E-07	588	89.6	171.8	1	15	110
Sch+10	R4E1FC.L	3.90E-07	683	98.4	203.4	1	15	100
Yak+15	B12	3.40E-09	708	3.6	13.6	0	12	1300
Yak+15	B15	7.90E-09	865	4.3	17.9	0	15	1100
Yak+15	B20	4.20E-09	602	3	15.2	0	20	900
Yak+15	B25	1.40E-09	1022	6.6	26.1	0	25	1140
